Site,Habitat,Group,d13C,d15N
LS,NS,NS Large,-23.6,12.7
LS,NS,NS Large,-24.894,11.697
LS,NS,NS Large,-21.823,11.809
LS,NS,NS Small,-23.965,11.401
LS,NS,NS Small,-23.974,11.337
LS,NS,NS Small,-23.544,11.714
LS,WL,WL Large,-27.626,10.593
LS,WL,WL Large,-27.498,9.134
LS,WL,WL Large,-24.6,11.8
LS,WL,WL Small,-28.441,10.973
LS,WL,WL Small,-28.265,11.125
LS,WL,WL Small,-27.9,10.7
LS,WL,WL Small,-27.8,10.7
BH,NS,NS Large,-18.56,10.763
BH,NS,NS Large,-18.359,10.618
BH,NS,NS Large,-17.869,8.167
BH,NS,NS Small,-17.729,7.947
BH,NS,NS Small,-17.568,7.762
BH,NS,NS Small,-17.161,7.969
BH,NS,NS Small,-17.569,8.804
BH,NS,NS Small,-17.812,7.575
BH,NS,NS Small,-17.967,7.048
CA,NS,NS Large,-18.155,9.492
CA,NS,NS Large,-16.796,9.458
CA,NS,NS Large,-17.691,9.694
CA,NS,NS Large,-18.548,8.966
CA,WL,WL Large,-19.381,15.75
CA,WL,WL Large,-19.088,16.399
CA,WL,WL Large,-19.623,16.494
CA,WL,WL Large,-17.818,16.403
CA,WL,WL Large,-18.937,16.274
CA,WL,WL Large,-19.203,17.046
CA,WL,WL Large,-20.017,16.769
CA,WL,WL Large,-19.737,16.962
CA,WL,WL Large,-18.079,16.1
CA,WL,WL Large,-18.435,16.61
CA,WL,WL Large,-21.792,17.839
CA,WL,WL Large,-19.12,16.652
CA,WL,WL Large,-20.53,17.836
CA,WL,WL Large,-18.738,17.295
CA,WL,WL Large,-19.002,16.86
CA,WL,WL Small,-22.02,16.179
CA,WL,WL Small,-22.566,16.265
CA,WL,WL Small,-21.061,15.949
CA,WL,WL Small,-21.095,16.018
CA,WL,WL Small,-19.305,15.712
CA,WL,WL Small,-20.477,14.908
CA,WL,WL Small,-19.776,15.89
CA,WL,WL Small,-19.461,15.339
CA,WL,WL Small,-20.141,15.488
CA,WL,WL Small,-21.399,17.581
CA,WL,WL Small,-18.924,15.231
CA,WL,WL Small,-19.715,14.719
PE,WL,WL Large,-26.6,13.1
PE,WL,WL Large,-27.654,10.94
CR,WL,WL Large,-27.5,10.7
CR,WL,WL Large,-28,10.6
CR,WL,WL Large,-27.5,10.6
PW,WL,WL Large,-27.821,13.444
PW,WL,WL Large,-28.222,12.806
PW,WL,WL Large,-26.319,13.439
PW,WL,WL Large,-27.347,14.213
PW,WL,WL Small,-27.082,13.821
PW,WL,WL Small,-27.609,13.07
PW,WL,WL Small,-30.25,12.274
PW,WL,WL Small,-29.274,12.428
PW,WL,WL Small,-30.247,12.427
PW,WL,WL Small,-30.495,12.378
MU,NS,NS Large,-21.88,10.047
MU,NS,NS Large,-22.029,11.02
MU,NS,NS Large,-21.8,10.023
MU,NS,NS Large,-22.021,11.071
MU,NS,NS Large,-21.925,10.355
MU,WL,WL Large,-27.342,12.819
MU,WL,WL Large,-27.345,13.678
MU,WL,WL Large,-28.194,12.471
MU,WL,WL Large,-27.981,12.583
MU,WL,WL Large,-26.881,12.499
MU,WL,WL Large,-26.25,12.359
MU,WL,WL Large,-26.962,13.751
MU,WL,WL Large,-26.575,11.638
MU,WL,WL Small,-27.591,13.342
MU,WL,WL Small,-29.441,12.9
MU,WL,WL Small,-28.573,12.659
