Site,Habitat,Resource,Min,Low,Mid,Top,Max
Burns Harbor,NS,NS Alewife,0.8,7,15.1,25.2,44
Burns Harbor,NS,NS Invertebrates,2,15.3,26,35.7,51
Burns Harbor,NS,NS Shiner,1,9.6,20.9,35.7,64.2
Burns Harbor,WL,WL Invertebrates,0.4,3.8,8.1,14.5,31
Burns Harbor,WL,WL Seston,3,15.1,22.4,30.2,45.4
Calumet,NS,NS Alewife,0.6,6.2,13.6,24.3,46.4
Calumet,NS,NS Invertebrates,3.6,20.4,30.5,39.6,56.6
Calumet,NS,NS Seston,0.8,7.3,14.3,23.3,43.9
Calumet,NS,NS Shiner,0.9,8.9,18.4,29.6,53.7
Calumet,WL,WL Phrag Inverts,0.2,1.8,4.2,8,18.6
Calumet,WL,WL SAV Inverts,0.4,3.9,8.6,15.5,31.9
Little Sturgeon,NS,NS Fish,5,29,43.5,56.6,75.8
Little Sturgeon,NS,NS Invertebrates,0.6,5.3,10.6,17.2,35.3
Little Sturgeon,WL,WL Fish,1.7,15.7,28.8,43.9,71
Little Sturgeon,WL,WL Invertebrates,0.8,6.9,13.3,20.7,36.3
Muskegon,NS,NS Invertebrates,0.7,7.4,15.4,27.6,53.1
Muskegon,NS,NS Seston,6.9,24.9,33.1,39.6,50.4
Muskegon,NS,NS Shiner,5.9,25.5,33.2,39.6,51.7
Muskegon,WL,WL Invertebrates,0.4,4.2,8.9,15.5,30.8
Muskegon,WL,WL Small Perch,0.2,2.6,5.6,9.5,18.8
