Site,Habitat,Resource,Min,Low,Mid,Top,Max
Peshtigo,NS,NS Alewife,1.2,10.3,19.1,28.1,49.7
Peshtigo,WL,WL Invertebrates,2.5,14.6,24.5,36.2,62.3
Peshtigo,WL,WL Pumpkinseed,2.2,17.8,32.6,46.5,67.6
Peshtigo,WL,WL Small Perch,0.8,8,17.4,29.4,58.2
Cedar River,NS,NS Alewife,1,9.5,18.1,29.1,51
Cedar River,NS,NS Invertebrates,0.2,2,4.5,8,20.3
Cedar River,WL,WL Invertebrates,10.6,28.2,34.2,39.5,54.5
Cedar River,WL,WL Fish,6.6,29.1,41.3,52,67.7
Muskegon,DRM,DRM Seston,14.3,31.1,39.7,48.2,62.3
Muskegon,NS,NS Invertebrates,1,7.5,13.8,20.5,34.6
Muskegon,NS,NS Shiner,1,8.3,15,22.3,35.8
Muskegon,WL,WL Small Perch,3.2,19.3,30.1,40.9,59
Little Sturgeon,NS,NS Fish,1,9.6,18.9,30.7,53.9
Little Sturgeon,NS,NS Invertebrates,1,9.1,17.9,28.5,51.3
Little Sturgeon,WL,WL Fish,1.8,15.6,28,40.7,62
Little Sturgeon,WL,WL Invertebrates,2.2,16.9,29.6,42.2,63.2
Calumet,WL,WL Alewife,1.4,11,19.4,27.4,40.6
Calumet,WL,WL Phrag Inverts,0.6,5.2,10.5,17.2,29.8
Calumet,WL,WL SAV Inverts,12.1,22,27,32.1,41.8
Calumet,WL,WL Shiners,27.8,37.2,41.8,46.2,54.1
Pentwater,DRM,DRM Small Perch,1.6,13.4,24.4,34.9,50.8
Pentwater,WL,WL Invertebrates,2.6,15.7,24.5,32.5,45.9
Pentwater,WL,WL Alewife,0.5,4.6,9.9,17.1,35.5
Pentwater,WL,WL Seston,0.3,2.7,5.5,9.4,19.6
Pentwater,WL,WL Shiners,2.1,18.3,32.3,46.3,66
