ID,Region,Site,Habitat,Size,Group,Sr,Mg,Ba,Mn,,Notes
CMU 1,East,MU,NS,Large,MU NS Large,254.6829833,14.80304205,0.46336982,1.13035798,,1. Habitat is either nearshore (NS) or coastal wetland (WL) where an individual fish was collected
CMU 2,East,MU,NS,Large,MU NS Large,295.2455667,12.49084378,0.544049449,2.032340391,,2. Size of perch (Large: >150 mm TL)
CMU 5,East,MU,NS,Large,MU NS Large,245.241155,7.889894167,0.532407941,0.954851926,,3. All element values are the mean of last 10 mm of otolith line ablation reported in parts per million (‰) relative to calcium
CMU 65,East,MU,NS,Large,MU NS Large,287.7367517,13.60257017,0.641385671,2.02067882,,4. See Methods for description of LA-ICP-MS
CMU 66,East,MU,NS,Large,MU NS Large,244.5889933,13.77986333,0.716764272,1.252908982,,
CMU 67,East,MU,NS,Large,MU NS Large,336.3713267,11.65992967,0.326267331,1.522784413,,
CMU 68,East,MU,NS,Large,MU NS Large,235.87361,12.8179435,0.515684192,1.278334916,,
CMU 69,East,MU,NS,Large,MU NS Large,183.7482683,8.055856167,0.660737997,1.011585996,,
CMU 70,East,MU,NS,Large,MU NS Large,263.050165,19.75129,0.612402671,1.345629628,,
CMU 71,East,MU,NS,Large,MU NS Large,214.8842383,18.52797,0.683302884,1.073465218,,
CMU 72,East,MU,NS,Large,MU NS Large,211.5324383,14.9599235,0.266256003,0.722935714,,
J134,East,MU,NS,Large,MU NS Large,253.65649,14.04383267,0.741013712,1.223890307,,
J135,East,MU,NS,Large,MU NS Large,256.3357867,8.183288833,0.499572838,0.899275395,,
50,East,MU,WL,Large,MU WL Large,250.21969,14.30591767,0.789391696,1.845268903,,
52,East,MU,WL,Large,MU WL Large,252.61901,9.833386075,0.76027189,1.469351172,,
53,East,MU,WL,Large,MU WL Large,268.78197,12.35614853,1.515411423,1.725007309,,
299,East,MU,WL,Large,MU WL Large,263.3262833,8.7687625,1.461603344,1.789386684,,
300,East,MU,WL,Large,MU WL Large,305.6460718,13.17521064,2.27711435,2.00961651,,
301,East,MU,WL,Large,MU WL Large,333.0725355,14.73149564,2.007140057,2.049493616,,
16,South,CA,NS,Large,CA NS Large,199.765075,16.29942825,1.71270945,0.72245085,,
17,South,CA,NS,Large,CA NS Large,243.0826267,13.50479298,2.6810697,2.234781667,,
18,South,CA,NS,Large,CA NS Large,185.7746083,23.49626733,2.497831583,2.060200083,,
41,South,CA,NS,Large,CA NS Large,239.501365,16.66101,2.876809225,0.738060425,,
102,South,CA,WL,Large,CA WL Large,415.1859591,24.86378,3.052116064,0.606207,,
103,South,CA,WL,Large,CA WL Large,454.23025,22.17393,5.652956,0.248879183,,
104,South,CA,WL,Large,CA WL Large,554.3114933,27.014018,5.3449065,0.888162167,,
105,South,CA,WL,Large,CA WL Large,487.4107055,29.57330927,5.837439136,0.9842366,,
106,South,CA,WL,Large,CA WL Large,633.1069555,34.69671273,8.738353273,1.510197542,,
107,South,CA,WL,Large,CA WL Large,523.4732482,30.57330882,6.490213,1.067082627,,
109,South,CA,WL,Large,CA WL Large,557.0164545,28.25757364,9.614416,1.206759391,,
110,South,CA,WL,Large,CA WL Large,700.6451073,40.17006182,11.49838782,1.115215845,,
112,South,CA,WL,Large,CA WL Large,713.2307391,27.50795718,9.660284091,1.104231373,,
114,South,CA,WL,Large,CA WL Large,543.0498667,30.50947383,5.2810465,0.850646167,,
115,South,CA,WL,Large,CA WL Large,452.6512033,28.65249867,4.472691333,0.902113833,,
14LISTNSYEP01,West,LS,NS,Large,LS NS Large,239.8557833,8.585585733,0.305891158,2.718048133,,
14LISTNSYEP02,West,LS,NS,Large,LS NS Large,222.199495,8.400268017,0.491698371,3.27748905,,
14LISTNSYEP04,West,LS,NS,Large,LS NS Large,347.35708,9.681649417,1.13135097,6.9411896,,
14LISTWLYEP04,West,LS,WL,Large,LS WL Large,287.4286717,16.54369983,3.17515615,11.14063203,,
14LISTWLYEP05,West,LS,WL,Large,LS WL Large,255.691405,13.51536392,1.000395872,4.69777535,,
