Region,Site,Habitat,Type,Group,Taxon,d13C,d15N
East,BH,NS,Invertebrate,NS Invertebrates,Chironomidae,-15.27330706,9.179
East,BH,NS,Invertebrate,NS Invertebrates,Chironomidae,-14.76347153,8.731
East,BH,NS,Prey Fish,NS Alewife,Alewife,-23.96530308,8.001
East,BH,NS,Prey Fish,NS Alewife,Alewife,-23.40593557,8.747
East,BH,NS,Prey Fish,NS Alewife,Alewife,-23.76452317,9.009
East,BH,NS,Prey Fish,NS Shiner,Spottail shiner,-19.17228938,8.96
East,BH,NS,Prey Fish,NS Shiner,Spottail shiner,-18.00173227,8.793
East,BH,NS,Prey Fish,NS Shiner,Spottail shiner,-19.80454089,8.492
South,BH,NS,Prey Fish,NS Shiner,Spottail shiner,-18.96239389,9.301
South,BH,NS,Prey Fish,NS Shiner,Spottail shiner,-19.64491854,8.777
South,BH,WL,Invertebrate,WL Invertebrates,Amphipoda,-24.87979662,11.548
South,BH,WL,Invertebrate,WL Invertebrates,Amphipoda,-25.63360103,7.803
South,BH,WL,Invertebrate,WL Invertebrates,Chironomidae,-31.43908334,8.911
South,BH,WL,Invertebrate,WL Invertebrates,Chironomidae,-30.94360938,8.217
West,BH,WL,Invertebrate,WL Invertebrates,Crayfish,-25.92884047,8.262
West,BH,WL,Invertebrate,WL Invertebrates,Isopoda,-23.32406737,12.384
West,BH,WL,Invertebrate,WL Invertebrates,Isopoda,-23.71351501,9.77
West,BH,WL,Invertebrate,WL Invertebrates,Gastropoda,-23.71229685,6.501
West,BH,WL,Prey Fish,WL Prey Fish,Bluegill,-28.235232,11.523
West,BH,WL,Prey Fish,WL Prey Fish,Bluegill,-28.10743462,12.414
East,BH,WL,Prey Fish,WL Prey Fish,Bluegill,-30.33314814,9.85
East,BH,WL,Prey Fish,WL Prey Fish,Bluegill,-27.63797583,11.678
East,BH,WL,Prey Fish,WL Prey Fish,Bluegill,-27.01513492,11.322
East,BH,WL,Prey Fish,WL Prey Fish,Bluntnose minnow,-24.27727645,7.596
East,BH,WL,Prey Fish,WL Prey Fish,Golden shiner,-26.80850833,9.376
East,BH,WL,Prey Fish,WL Prey Fish,Golden shiner,-28.11561034,11.482
East,BH,WL,Seston,WL Seston,50,-21.80042472,3.392
East,BH,WL,Seston,WL Seston,160,-21.6528766,2.544
East,BH,WL,Seston,WL Seston,250,-17.26562585,1.872
East,CA,NS,Invertebrate,NS Invertebrates,Amphipodaa,-18.14738108,2.222
East,CA,NS,Invertebrate,NS Invertebrates,Chironomidae,-14.52289019,5.976
East,CA,NS,Invertebrate,NS Invertebrates,Chironomidae,-15.40502657,5.433
East,CA,NS,Invertebrate,NS Invertebrates,Dreissenid,-23.21702452,2.659
East,CA,NS,Prey Fish,NS Alewife,Alewife,-22.729,7.582
East,CA,NS,Prey Fish,NS Alewife,Alewife,-22.356,8.582
East,CA,NS,Prey Fish,NS Alewife,Alewife,-22.007,8.454
East,CA,NS,Prey Fish,NS Alewife,Alewife,-21.993,7.656
East,CA,NS,Prey Fish,NS Shiner,Spottail shiner,-18.804,9.098
East,CA,NS,Prey Fish,NS Shiner,Spottail shiner,-18.424,9.539
East,CA,NS,Prey Fish,NS Shiner,Spottail shiner,-18.921,9.628
East,CA,NS,Prey Fish,NS Shiner,Spottail shiner,-19.424,8.897
East,CA,NS,Prey Fish,NS Shiner,Spottail shiner,-18.527,8.38
East,CA,NS,Prey Fish,NS Shiner,Spottail shiner,-19.349,9.42
East,CA,NS,Seston,NS Seston,50,-19.3798899,1.423
East,CA,NS,Seston,NS Seston,160,-26.87107015,4.361
East,CA,NS,Seston,NS Seston,250,-27.0617867,4.632
East,CA,NS,Seston,NS Seston,250,-22.99019422,10.636
East,CA,WL,Invertebrate,WL Phrag Inverts,Amphipoda,-22.95849136,14.215
East,CA,WL,Invertebrate,WL Phrag Inverts,Amphipoda,-23.49081876,14.603
East,CA,WL,Invertebrate,WL Phrag Inverts,Chironomidae,-26.49171225,13.274
